ZIPCode,StateName,
56283,Minnesota,
56284,Minnesota,
56285,Minnesota,
56287,Minnesota,
56288,Minnesota,
56289,Minnesota,
56292,Minnesota,
56293,Minnesota,
56294,Minnesota,
56297,Minnesota,
56301,Minnesota,
56302,Minnesota,
56303,Minnesota,
56304,Minnesota,
56307,Minnesota,
56310,Minnesota,
56312,Minnesota,
56313,Minnesota,
56314,Minnesota,
56316,Minnesota,
56317,Minnesota,
56318,Minnesota,
56319,Minnesota,
56320,Minnesota,
56321,Minnesota,
56325,Minnesota,
56328,Minnesota,
56329,Minnesota,
56330,Minnesota,
56331,Minnesota,
56333,Minnesota,
56334,Minnesota,
56335,Minnesota,
56336,Minnesota,
56338,Minnesota,
56340,Minnesota,
56342,Minnesota,
56344,Minnesota,
56345,Minnesota,
56347,Minnesota,
56350,Minnesota,
56352,Minnesota,
56353,Minnesota,
56355,Minnesota,
56356,Minnesota,
56357,Minnesota,
56358,Minnesota,
56359,Minnesota,
56360,Minnesota,
56362,Minnesota,
56363,Minnesota,
56364,Minnesota,
56367,Minnesota,
56368,Minnesota,
56369,Minnesota,
56371,Minnesota,
56372,Minnesota,
56373,Minnesota,
56374,Minnesota,
56375,Minnesota,
56376,Minnesota,
56377,Minnesota,
56378,Minnesota,
56379,Minnesota,
56381,Minnesota,
56382,Minnesota,
56384,Minnesota,
56385,Minnesota,
56386,Minnesota,
56387,Minnesota,
56388,Minnesota,
56389,Minnesota,
56393,Minnesota,
56395,Minnesota,
56396,Minnesota,
56397,Minnesota,
56398,Minnesota,
56399,Minnesota,
56401,Minnesota,
56425,Minnesota,
56431,Minnesota,
56438,Minnesota,
56440,Minnesota,
56441,Minnesota,
56443,Minnesota,
56444,Minnesota,
56446,Minnesota,
56449,Minnesota,
56450,Minnesota,
56455,Minnesota,
56459,Minnesota,
56465,Minnesota,
56466,Minnesota,
56468,Minnesota,
56473,Minnesota,
56475,Minnesota,
59773,Texas,
